ID;Name;ORIGIN;SEX
7059;LibriSpeech/7059-77897-0000.flac;TRAIN; F 
831;LibriSpeech/831-130739-0000.flac;TRAIN; M 
5514;LibriSpeech/5514-19192-0000.flac;TRAIN; F 
4195;LibriSpeech/4195-17507-0000.flac;TRAIN; F 
332;LibriSpeech/332-128985-0000.flac;TRAIN; M 
4160;LibriSpeech/4160-11549-0000.flac;TRAIN; F 
39;LibriSpeech/39-121914-0000.flac;TRAIN; F 
4406;LibriSpeech/4406-16882-0000.flac;TRAIN; M 
7067;LibriSpeech/7067-76047-0000.flac;TRAIN; M 
196;LibriSpeech/196-122150-0000.flac;TRAIN; M 
4481;LibriSpeech/4481-17498-0000.flac;TRAIN; F 
4830;LibriSpeech/4830-25898-0000.flac;TRAIN; M 
1594;LibriSpeech/1594-135914-0000.flac;TRAIN; M 
1624;LibriSpeech/1624-142933-0000.flac;TRAIN; M 
32;LibriSpeech/32-21625-0000.flac;TRAIN; F 
1723;LibriSpeech/1723-141149-0000.flac;TRAIN; M 
5652;LibriSpeech/5652-19215-0000.flac;TRAIN; F 
7402;LibriSpeech/7402-59171-0000.flac;TRAIN; M 
7113;LibriSpeech/7113-86041-0000.flac;TRAIN; F 
6925;LibriSpeech/6925-80680-0000.flac;TRAIN; M 
7190;LibriSpeech/7190-90542-0000.flac;TRAIN; M 
5808;LibriSpeech/5808-48608-0000.flac;TRAIN; M 
6437;LibriSpeech/6437-66172-0000.flac;TRAIN; M 
3526;LibriSpeech/3526-175658-0000.flac;TRAIN; F 
587;LibriSpeech/587-41611-0000.flac;TRAIN; F 
8419;LibriSpeech/8419-286667-0000.flac;TRAIN; M 
1553;LibriSpeech/1553-140047-0000.flac;TRAIN; F 
6019;LibriSpeech/6019-3185-0000.flac;TRAIN; M 
8630;LibriSpeech/8630-305212-0000.flac;TRAIN; M 
1334;LibriSpeech/1334-135589-0000.flac;TRAIN; M 
4853;LibriSpeech/4853-27670-0000.flac;TRAIN; F 
3242;LibriSpeech/3242-67153-0000.flac;TRAIN; M 
3664;LibriSpeech/3664-11714-0000.flac;TRAIN; M 
2007;LibriSpeech/2007-132570-0000.flac;TRAIN; F 
3723;LibriSpeech/3723-171115-0000.flac;TRAIN; M 
8425;LibriSpeech/8425-246962-0000.flac;TRAIN; M 
1069;LibriSpeech/1069-133699-0000.flac;TRAIN; F 
7505;LibriSpeech/7505-258958-0000.flac;TRAIN; M 
6563;LibriSpeech/6563-285357-0000.flac;TRAIN; M 
8312;LibriSpeech/8312-279790-0000.flac;TRAIN; F 
8747;LibriSpeech/8747-293952-0000.flac;TRAIN; M 
3235;LibriSpeech/3235-11599-0000.flac;TRAIN; F 
3879;LibriSpeech/3879-173592-0000.flac;TRAIN; F 
6181;LibriSpeech/6181-216552-0000.flac;TRAIN; M 
5750;LibriSpeech/5750-100289-0000.flac;TRAIN; M 
4680;LibriSpeech/4680-16026-0000.flac;TRAIN; F 
5022;LibriSpeech/5022-29405-0000.flac;TRAIN; F 
2764;LibriSpeech/2764-36616-0000.flac;TRAIN; F 
446;LibriSpeech/446-123501-0000.flac;TRAIN; M 
6367;LibriSpeech/6367-65536-0000.flac;TRAIN; M 
5192;LibriSpeech/5192-19396-0000.flac;TRAIN; M 
200;LibriSpeech/200-124139-0000.flac;TRAIN; F 
2136;LibriSpeech/2136-5140-0000.flac;TRAIN; M 
7367;LibriSpeech/7367-86737-0000.flac;TRAIN; M 
4137;LibriSpeech/4137-11701-0000.flac;TRAIN; F 
1970;LibriSpeech/1970-10594-0000.flac;TRAIN; F 
8580;LibriSpeech/8580-287363-0000.flac;TRAIN; M 
1447;LibriSpeech/1447-130550-0000.flac;TRAIN; F 
887;LibriSpeech/887-123289-0000.flac;TRAIN; F 
